src	src-sense-id	prob-sense	dst	dst-sense-id	similarity
jaguar	4	0.44536452417920347	volvo	2	0.8091975
jaguar	4	0.44536452417920347	prodrive	1	0.8091273
jaguar	4	0.44536452417920347	austin	3	0.8031463
jaguar	4	0.44536452417920347	suzuki	4	0.8012861
jaguar	4	0.44536452417920347	nissans	1	0.8011834
jaguar	4	0.44536452417920347	ducati	3	0.8007659
python	1	0.3469269444151692	javac	1	0.87015414
python	1	0.3469269444151692	module	3	0.86936027
python	1	0.3469269444151692	debugger	1	0.86841244
python	1	0.3469269444151692	gcc	1	0.86617476
python	1	0.3469269444151692	wrapper	2	0.86525947
python	1	0.3469269444151692	interpreter	1	0.85693324
python	1	0.3469269444151692	idl	3	0.84904224
python	1	0.3469269444151692	debugging	1	0.84855783
python	1	0.3469269444151692	mingw	1	0.84633917
python	1	0.3469269444151692	java	5	0.9039045
python	1	0.3469269444151692	api	3	0.8874049
python	1	0.3469269444151692	tcl	3	0.8660128
python	1	0.3469269444151692	postgresql	1	0.8636123
python	1	0.3469269444151692	c	4	0.8613015
python	1	0.3469269444151692	lisp	3	0.8592414
python	1	0.3469269444151692	shell	1	0.8581197
python	1	0.3469269444151692	package	5	0.8529774
python	1	0.3469269444151692	pl	2	0.8522683
python	1	0.3469269444151692	gnu	3	0.8511499
python	1	0.3469269444151692	preprocessor	1	0.8491614
python	2	0.23152280127597763	spamalot	1	0.76370054
python	2	0.23152280127597763	zirkus	1	0.63680965
python	2	0.23152280127597763	pippin	1	0.63037187
python	2	0.23152280127597763	grouchland	1	0.60572594
python	2	0.23152280127597763	cleese	1	0.60348254
python	2	0.23152280127597763	fliegender	1	0.59872466
python	2	0.23152280127597763	charmed	1	0.59467405
python	2	0.23152280127597763	gatiss	1	0.59444463
python	2	0.23152280127597763	monty	1	0.7160411
python	2	0.23152280127597763	pythonas	1	0.7079458
python	2	0.23152280127597763	muppets	1	0.6624375
python	2	0.23152280127597763	idle	3	0.6467426
python	2	0.23152280127597763	zardoz	1	0.6466679
python	2	0.23152280127597763	henson	1	0.6298836
python	2	0.23152280127597763	serafinowicz	1	0.6216478
python	2	0.23152280127597763	antz	1	0.6154215
python	2	0.23152280127597763	spoofing	2	0.6034041
python	2	0.23152280127597763	lorre	1	0.5974249
python	2	0.23152280127597763	starcatchers	1	0.5971648
python	2	0.23152280127597763	funnyman	1	0.594529
python	3	0.07624862766017584	config	5	0.73326105
python	3	0.07624862766017584	srsbook	1	0.72956973
python	3	0.07624862766017584	xml	2	0.69779253
python	3	0.07624862766017584	unix	3	0.68994886
python	3	0.07624862766017584	sld	4	0.68776065
python	3	0.07624862766017584	node36	1	0.68087196
python	3	0.07624862766017584	perl	4	0.7188972
python	3	0.07624862766017584	readme	2	0.7042936
python	3	0.07624862766017584	javadoc	1	0.7034689
python	3	0.07624862766017584	issue51	1	0.7023828
python	3	0.07624862766017584	dist	4	0.7017307
python	3	0.07624862766017584	viewcvs	1	0.6978316
python	3	0.07624862766017584	devel	2	0.6971678
python	3	0.07624862766017584	pub	2	0.6941178
python	3	0.07624862766017584	dbweb	1	0.6847453
python	3	0.07624862766017584	cpm	3	0.6821213
python	3	0.07624862766017584	mas01em	1	0.6816131
python	3	0.07624862766017584	rssnews	1	0.6815452
python	3	0.07624862766017584	faq	3	0.688379
python	3	0.07624862766017584	java	4	0.686741
python	4	0.0732112654816372	warthog	1	0.74967575
python	4	0.0732112654816372	molurus	1	0.74744076
python	4	0.0732112654816372	krait	1	0.73783803
python	4	0.0732112654816372	snake	4	0.73123825
python	4	0.0732112654816372	myliobatis	1	0.72587395
python	4	0.0732112654816372	weasel	1	0.72542936
python	4	0.0732112654816372	nigripes	1	0.72445345
python	4	0.0732112654816372	racquet	2	0.72389776
